HiddenState,Counts,Min_Magnitude,Avg_Magnitude,Max_Magnitude,Min_Depth,Avg_Depth,Max_Depth,Min_Distance,Avg_Distance,Max_Distance,Min_Time,Avg_Time,Max_Time,Num_Serious_Events
0,2281,1.3,3.3071459886014907,4.4,1.3,14.417141604559404,45.4,2.845111432988457,134.286444689848,354.1749475047775,0.0,0.6533190851965512,4.302777777777778,0
1,1422,2.1,4.025386779184248,4.9,1.1,31.515822784810126,145.4,3.8234105026906757,153.88560691190762,366.4037697269612,0.0,1.3670778637287075,8.749305555555555,0
2,1596,1.9,3.755325814536341,4.8,1.1,15.436528822055138,50.4,7.559188442519303,121.18838114421114,217.09702102257384,0.0,0.011451806599832916,0.08958333333333333,0
3,508,2.8,4.397834645669291,5.2,1.0,43.70551181102363,152.1,40.50146161724398,150.25261242536718,430.37999917597807,0.0,1.0832280730533683,6.697916666666667,0
4,5,6.7,6.92,7.1,7.8,29.5,50.2,116.33977895459242,226.43781334555146,347.1510823194014,0.0,0.015555555555555555,0.04027777777777778,5
5,250,4.1,5.0276000000000005,5.7,2.3,15.6872,57.8,85.06628857447285,124.84779696013153,223.45402694337545,0.0,0.005061111111111111,0.04583333333333333,10
6,4727,1.5,3.4027924687962767,4.4,0.6,13.412164163317115,38.5,1.7161154451699197,131.05361749356038,332.01625778905543,0.0,0.43897336224525774,2.375,0
7,251,5.2,5.828685258964144,6.9,3.5,55.89243027888446,312.0,59.98173568963495,197.40150562104986,610.0073981327728,0.0,0.7147050686144312,6.995833333333334,79
8,608,4.2,4.972861842105263,5.5,1.4,38.89703947368421,171.9,14.116385616248085,172.71613449605314,432.07932814958804,0.0,0.5700909173976608,3.2555555555555555,1
9,1046,1.6,3.3578393881453157,4.7,1.8,10.540917782026767,23.0,83.96780040563306,102.67141235941203,122.49940151662275,0.0,0.01626765986828128,0.11527777777777778,0
