,To_State_0,To_State_1,To_State_2,To_State_3,To_State_4,To_State_5,To_State_6,To_State_7,To_State_8,To_State_9,To_State_10,To_State_11,To_State_12,To_State_13,To_State_14,To_State_15,To_State_16,To_State_17,To_State_18,To_State_19
From_State_0,0.21477398108987206,1.749575e-318,1.694147801489362e-67,0.09781524333523431,0.0,0.004731314470910193,9.852289903331026e-59,0.007770193098863792,0.0,4.697037057799875e-54,1.2849939250150326e-40,2.3652737756944923e-67,1.5810143760855337e-77,1.087e-321,0.0,0.07916154616424748,4.3399052721826283e-131,1.1129330941172911e-39,3.128796807135888e-46,0.5957477218408722
From_State_1,1.5862794196442647e-302,0.7945620007652189,0.0,0.0,0.0,0.0,0.0071889176460795045,2.783601239964663e-66,0.023877922244830648,0.0,2.0891537915823693e-13,0.0651841317555079,0.0011774532189338098,0.02023928376411431,0.05994134958971099,0.0,0.02155208992109843,0.0,0.006276851094296483,3.682740399116973e-206
From_State_2,5.386276436072865e-61,0.0,0.12636867077724026,0.0,0.0,2.2847125918120416e-07,0.0,0.02981592852497726,0.0,0.7824067733720325,0.0,0.0,0.0,0.0,0.0,1.2159846891189768e-84,0.0,0.06140839885449081,0.0,9.328245924523066e-110
From_State_3,0.08799499742177572,0.0,0.0,0.709895023060791,0.0,1.279608462180263e-154,3.444836966997766e-15,0.0032198396440601875,0.0,0.0,0.0012847578029875587,1.0083074664813504e-28,6.036514339230694e-11,1.899326962651383e-222,0.0,0.05929959764658115,1.6723969167079644e-61,0.0,0.003813056977753765,0.13449272738568196
From_State_4,0.0,0.0,0.0,0.0,0.2499962837213211,0.0,0.24999628356489034,0.0,0.0,0.0,0.0,0.0,4.803058486541223e-11,0.5000074326657579,0.0,0.0,0.0,0.0,0.0,0.0
From_State_5,0.007774695889176428,0.0,4.594961344308459e-19,7.141266447750641e-154,0.0,0.8670583357105609,3.9931653758140115e-307,0.004899542758233701,0.0,0.0002937304496550771,0.0,2.7718889983590976e-290,1.9632161293423703e-251,0.0,0.0,0.03235320772136832,0.0,0.0017336641960249953,1.2826979220559388e-224,0.08588682327498068
From_State_6,1.1524865960689438e-19,0.018549936271521628,0.0,0.018430244992509028,0.0,1.392069782665324e-235,0.055754114166346354,0.00770933314772728,0.004802898176589139,0.0,0.05425500033054741,0.5057863936639344,0.0696966195116874,0.007556457185194154,5.5726431115298035e-49,4.695091171488244e-108,0.18905696131271,0.0,0.06840204124123313,3.9291389082625877e-75
From_State_7,0.06268690971932235,2.263153086787097e-14,0.024362615038268993,0.07488699155406285,0.0,0.048701610754903334,0.020568605461533305,0.041591789428431725,0.04915320829573864,0.0791214795516602,0.02787000306896851,0.18526756245470083,0.05236742852618855,1.4344775389565497e-58,0.039104951517453614,0.018385453390843444,1.8708962974293524e-17,0.029794768992842988,0.1227797523224236,0.12335686992263459
From_State_8,0.0,0.03168198714978512,0.0,0.0,3.9e-322,0.0,2.669219992319911e-71,0.002271898836347617,0.87811765014023,0.0,3.027199028453996e-59,1.1574003640833913e-40,4.6848789798771373e-213,0.009830666575434794,0.07242564380205001,0.0,0.0056721534961524725,0.0,8.064257688765062e-83,0.0
From_State_9,1.0299755743745846e-81,0.0,0.07259972208543512,0.0,0.0,1.418121308030223e-11,0.0,0.011492677353387354,0.0,0.7951400711273978,0.0,0.0,0.0,0.0,0.0,5.324056734414117e-36,0.0,0.12076752941959848,0.0,1.4217168617765964e-76
From_State_10,3.9205026325502276e-08,5.655485431261138e-13,0.0,4.836484409964233e-07,0.0,4.070956384e-314,0.04460373192365834,0.015791622038228224,1.7821256323148101e-125,0.0,0.08463093715406353,0.5647219914434798,0.03257306040769892,1.0170458265431361e-20,1.5222262628944166e-25,2.871347790757441e-102,0.19317935107294912,0.0,0.06449878310588933,1.712694561179317e-36
