n_states,log_likelihood,aic,bic
3,-568833.5773946742,1137719.1547893484,1137912.825792065
4,-565269.2983432326,1130616.5966864652,1130907.10319054
5,-560295.4621973629,1120698.9243947258,1121101.1641695986
6,-562706.0964371151,1125554.1928742302,1126083.0636893408
7,-567086.6832090006,1134353.3664180012,1135023.7660427892
8,-inf,inf,inf
9,-559017.2362551076,1118302.4725102151,1119300.6230626772
10,-inf,inf,inf
11,-inf,inf,inf
12,-549265.9591583945,1098961.918316789,1100563.4285315603
13,-inf,inf,inf
14,-546619.3575486741,1093796.7150973482,1095874.953934191
15,-inf,inf,inf
16,-536114.4000648357,1072930.8001296713,1075545.3586663445
17,-533069.1184669876,1066918.2369339752,1069823.301974723
18,-inf,inf,inf
19,-inf,inf,inf
20,-529117.5746579812,1059273.1493159623,1063139.120485573
