HiddenState,Counts,Min_Magnitude,Avg_Magnitude,Max_Magnitude,Min_Depth,Avg_Depth,Max_Depth,Min_Distance,Avg_Distance,Max_Distance,Min_Time,Avg_Time,Max_Time,Num_Serious_Events
0,618,3.6,4.4339805825242715,4.9,1.1,38.21326860841424,145.4,14.116385616248085,120.27565143503138,217.7507663712256,0.0,0.3214423768428623,1.24375,0
1,2804,1.3,3.3390870185449355,4.4,1.3,14.822467902995719,47.8,2.845111432988457,135.13011258694985,354.1749475047775,0.0,0.6722881003328578,4.302777777777778,0
2,429,4.6,5.154545454545455,5.6,3.9,39.257808857808854,171.9,14.632926452927036,186.3048520075982,432.07932814958804,0.0,0.6363037425537424,3.2555555555555555,3
3,1328,1.6,3.3742469879518073,4.7,2.2,10.527334337349396,23.8,14.89530773023699,112.26275816391107,218.93560868711555,0.0,0.014605819109772423,0.08680555555555555,0
4,3,7.0,7.033333333333334,7.1,19.7,38.0,50.2,116.33977895459242,260.7220012691837,347.1510823194014,0.0,0.015277777777777779,0.04027777777777778,3
5,213,5.2,5.87887323943662,6.9,3.0,55.89859154929577,312.0,59.98173568963495,200.79699435465082,610.0073981327728,0.0,0.7170350808555034,6.995833333333334,77
6,4095,1.5,3.412332112332112,4.4,0.6,13.746007326007327,38.5,1.7161154451699197,129.0092999719394,326.2563621918074,0.0,0.44044464794464794,2.2597222222222224,0
7,1504,1.9,3.735505319148936,4.6,1.1,15.297007978723405,45.8,7.559188442519303,121.06519530321252,217.09702102257384,0.0,0.00977485963356974,0.07708333333333334,0
8,209,4.5,5.016746411483253,5.9,2.3,17.60909090909091,41.7,90.5320436842999,126.16862855760006,221.4128894342731,0.0,0.0046285220627325895,0.04583333333333333,12
9,623,2.8,4.4707865168539325,5.2,1.0,42.06292134831461,152.1,40.50146161724398,150.24398675325082,430.37999917597807,0.0,0.9635812377385411,7.322916666666667,0
10,868,2.1,3.8899769585253456,4.9,1.6,27.08582949308756,102.5,3.8234105026906757,175.71722041923627,370.89280875163246,0.0,1.9281818036354326,8.749305555555555,0
